Input_Phase;Observed_Phase;Target_Output;Observed_Output;Output_State;Fidelity;Dimension
-2,1,-1,2,2.5,-2.5,1.5,-1.5;"-0.203230006151763;2.423475049776081;0.645415687560345;-2.245135615307945;-1.861721812948833;-0.121382729866912;-0.933032662633491;0.597921504900678";"0.606852153322481;0.119505697794879;0.046174337723842;0.056311972768980;0.045730353707267;0.042030486902472;0.044250406985349;0.039144590794731";"0.457543593631539;0.118397776093000;0.065453626484711;0.062421026029821;0.108162749557746;0.051238311852413;0.077141774071266;0.059641142279505";"0.6414;0.0219;0.0412;0.0424;0.1097;0.0290;0.0292;0.0852";0.800895960679445;8
-2,1,-1,2,2.5,-2.5,1.5,-1.5;"0.847935051804817;2.246270718533845;1.505514845405832;-1.326492009608575;-0.893079040476855;0.374254242654535;-1.525811665603587;1.735915448990610";"0.636868779385724;0.125786163522013;0.040972095011296;0.051718874030653;0.038468583989742;0.035110215546193;0.037735849056604;0.033339439457776";"0.514759685260362;0.132812108454869;0.057184383300757;0.066907231995189;0.069212649726858;0.046058236856613;0.054878965569087;0.058186738836265";"0.7136;0.0202;0.0445;0.0510;0.0808;0.0195;0.0198;0.0508";0.844719351462901;8
-2,1,-1,2,2.5,-2.5,1.5,-1.5;"0.094347914885259;-1.961099766266762;0.926562504777594;-0.873314180887166;-0.986932070110513;0.344911642243743;-0.891323439747846;1.818257036588775";"0.631514856307842;0.126948368241598;0.041281052118850;0.053458353628836;0.039332683877253;0.035131514856308;0.040124208475402;0.032208962493911";"0.527351221378217;0.111208262746598;0.051478222853708;0.040821902836221;0.070878190065031;0.099076452265151;0.069074812831302;0.030110935023772";"0.6619;0.0792;0.0372;0.0046;0.0497;0.1254;0.0340;0.0080";0.813585316587211;8
-2,1,-1,2,2.5,-2.5,1.5,-1.5;"-1.173752138912439;-2.954090594901607;0.394172359498196;-2.677980978160737;-2.431538082227496;-0.422861094391695;2.242974674906884;-0.015314573445921";"0.639100428367444;0.125297477391718;0.041230366492147;0.052594002855783;0.038196097096621;0.033852927177535;0.037660637791528;0.032068062827225";"0.517305249788315;0.160192633361558;0.077529635901778;0.075783234546994;0.042654530059272;0.039002963590178;0.044189246401355;0.043342506350550";"0.7661;0.1348;0.0259;0.0259;0.0029;0.0015;0.0214;0.0215";0.875291584270110;8
-2,1,-1,2,2.5,-2.5,1.5,-1.5;"[0.246513569456207;-0.951025279114384;1.754996522775281;-1.091883836954747;-0.661328954885075;0.542435200040355;-1.794949075740821;1.527691645072148]";"0.649686655551084;0.125222790777899;0.038866210544472;0.049215201517852;0.036566434772610;0.033001782326223;0.036681423561203;0.030759500948658";"0.497475707073449;0.132240377829651;0.053797296563704;0.071440204114869;0.050268715053472;0.069214483469953;0.065577330220944;0.059985885673959";"0.7485;0.0691;0.0192;0.0229;0.0181;0.0745;0.0155;0.0322";0.865157740240967;8
2,-1,1,-2,-2.5,2.5,-1.5,1.5;"-2.721642920941194;0.164838307232844;1.590959167611977;-0.175762492326343;-1.181110575088585;-2.843793690440198;-0.264835044208146;2.251700024489708";"0.644398516807489;0.121269223755395;0.040119141693514;0.050513646586834;0.037991611452191;0.035377788584281;0.037687678560574;0.032642392559723";"0.529781420765027;0.124644808743169;0.057978142076503;0.089836065573770;0.053278688524590;0.048961748633880;0.048743169398907;0.046775956284153";"0.8623;0.0002;0.0070;0.0333;0.0131;0.0411;0.0010;0.0419";0.928618608355361;8
2,-1,1,-2,-2.5,2.5,-1.5,1.5;"-1.974373583820840;2.346302717559818;-2.727041147381790;1.317108484058511;1.006172586668012;-0.642410899044107;-2.943745644452743;-1.411860785201139";"0.604446503010653;0.125521074571561;0.046185403295176;0.060808575398663;0.046251571494740;0.038311387547145;0.042678488718322;0.035796995963740";"0.477932897995947;0.104199504616077;0.051508669218644;0.056406214816483;0.108702994820986;0.092434136455753;0.070704796217068;0.038110785859041";"0.6174;0.0459;0.0296;0.0181;0.1043;0.1296;0.0323;0.0227";0.785771722536568;8
2,-1,1,-2,-2.5,2.5,-1.5,1.5;"2.363384036842914;0.211604854649299;2.119828058283415;-0.991582608922570;-1.292354118252662;-1.966149815260902;0.674175520853143;-2.013802305505077";"0.582665041380638;0.170911657150189;0.042342978122795;0.047090524154744;0.043818566754347;0.037018027843716;0.040995701546160;0.035157503047411";"0.453145478374836;0.133409785932722;0.074541284403670;0.065093927479249;0.122761031017912;0.058213193534294;0.056028833551769;0.036806465705548";"0.5988;0.0330;0.0591;0.0330;0.2074;0.0177;0.0476;0.0034";0.773809140572302;8
2,-1,1,-2,-2.5,2.5,-1.5,1.5;"0.685065416201077;-0.756066031719508;0.102125883250559;-2.108584532887946;2.696934041358719;2.305094348952872;-2.068244490699274;0.829400364493465";"0.590326555760937;0.172704867529267;0.041466420209489;0.045224892174985;0.043684534812076;0.034257547751078;0.038200862600123;0.034134319162046";"0.467795620437956;0.219036496350365;0.060496350364964;0.076613138686131;0.049343065693431;0.053197080291971;0.039766423357664;0.033751824817518";"0.7786;0.1342;0.0061;0.0401;0.0069;0.0316;0.0008;0.0017";0.882402979128668;8
2,-1,1,-2,-2.5,2.5,-1.5,1.5;"-2.022685343838142;1.436781377600761;1.517650092360330;0.548702452993226;0.123157643897984;-0.664153339861199;1.181818218423855;-1.949268614993247";"0.567992660069467;0.172291762238679;0.044891539419359;0.050855232977259;0.049806671472574;0.036568582475916;0.041549249623173;0.036044301723573";"0.426383571179951;0.154948369880497;0.086726998491704;0.069787678384963;0.074776656224620;0.062536257106393;0.071121939900220;0.053718528831651";"0.6209;0.0703;0.0335;0.0393;0.1098;0.0466;0.0370;0.0427";0.787942259537369;8
